judul,narasi,label
4 Mahasiswa Hanya Butuh 36 Jam Atasi Hoax di Facebook,"Sebenarnya, sesusah apa memberantas berita hoax tersebut?
 Agaknya empat mahasiswa yang mengikuti program hackaton di Princeton University, AS, menganggapnya relatif mudah. Mereka cuma butuh waktu 36 jam untuk menggodok sebuah proyek bernama “FiB: stop living a lie“.",Berita Palsu
Update status WNA yang Meninggal di Atas Motor Positif COVID-19,"Warga negara asing (WNA) yang meninggal di atas motor di Jalan Imam Bojol, Denpasar, Bali, ternyata positif terjangkit virus Corona atau COVID-19.",Berita Palsu
"MUNCUL PESAN BERANTAI AKAN TERJADI PERANG SUSULAN AMBON VS LSM MERAH PUTIH, PIHAK KEPOLISIAN NYATAKAN KONDISI LAPANGAN KONDUSIF","Kabid Humas Polda Metro Jaya, Kombes Pol Argo Yuwono: “Hoaks itu. Tidak ada perang atau tawuran seperti yang disebutkan di pesan berantai itu,”",Berita Palsu
Revisi deskripsi foto di berita Tempo Rumah Tahan Gempa Rp 15 Juta Mulai Berdiri di Lombok Utara,Tempo bertahan dengan berita hoax untuk menyanjung junjungannya..,Berita Palsu
"Dituduh Punya Hubungan Spesial Dengan Ahok, Grace Natalie Beri Klarifikasi","FITNAH INI MENGGELIKAN, TAPI TIDAK BISA DIDIAMKAN
Hhhhhhh…. Susah sekali untuk perempuan berkarya dalam dunia politik dan mencoba melakukan gebrakan di ruang publik..
Selama sehari terakhir saya kebanjiran pesan dari kolega. Mereka bertanya-tanya tentang apa yang mereka lihat di media sosial.
Yang pertama, mereka melihat kolase foto-foto saya. Masalahnya di antara
 foto-foto itu, ada foto ‘saya’ yang pahanya ke mana-mana atau yang 
mengenakan baju dengan belahan dada sangat rendah. Nama penyebarnya Prof
 tjohkohwie. Saya juga dikirim kolase foto itu
Waduuuh badan saya gak sebagus itu juga kali 😃 Lagipula itu editan juga memprihatinkan.. kepala sama badan gak nempel kayak naga terbang di sinetron! Hehe.
Belum selesai itu, ada lagi sebuah tweet dari akun Hulk. Ini lebih seram
 lagi. Dalam tweet itu saya digambarkan punya hubungan cinta dengan 
Ahok, sampai ke tempat tidur.
Bahkan, kata si Hulk ini, saya diperkenalkan kepada 9 naga oleh Ahok. 
Sehingga akhirnya 9 Naga menggelontorkan dana buat PSI. Di ujung tweet, 
dia menulis: Info Valid. Waduh, kalau ini valid, ya PSI sudah kaya raya 
dong.
Ini orang kok imajinasinya tanpa batas. Mesum pula!
Rasanya, kali ini kelakuan ini tidak bisa dibiarkan. Saya
laporkan ke polisi saja ya? Apa pendapat bro dan sis semua?",Berita Palsu
Polres Banjarbaru Bantah Melakukan Pemeriksaan dan Pengamanan Terhadap Pedagang Pentol Berbahan Daging Kucing,"Hoax. Tidak ada mengamankan apalagi melakukan pemeriksaan. Diharapkan kepada masyarakat Banjarbaru yang bijak dalam menyikapi kabar, cek ricek agar benar faktanya. Bijaklah dalam menggunakan media sosial. Kami anti Hoaks",Berita Palsu
Hoax Untuk Memuji Jokowi akan Dibiarkan Saja Terkait Pemberitaan Jokowi Pemimpin Terbaik dari Media Bloomberg,Hoax Untuk Memuji Jokowi akan Dibiarkan Saja Terkait Pemberitaan ‘Jokowi Pemimpin Terbaik’ dari Media Bloomberg,Berita Palsu
"MAFINDO Jombang: The Fact Talk Sakit, tapi takut ke layanan kesehatan? Takut kena COVID-19?",Simak di :,Berita Palsu
FPI Tidak Menyebarkan Spanduk Habib Rizieq Dukung Khilafah,"Front Pembela Islam (FPI) membantah telah memasang dan menyebarkan spanduk bergambarkan Imam Besar FPI Habib Rizieq Shihab mendukung khilafah di sejumlah titik Kota Depok, Jawa Barat. Dilansir dari sindonews.com, okezone.com, dan rmol.co, Novel Bamukmin, Anggota FPI, membantah pihaknya telah melakukan pemasangan spanduk tersebut. “Iya tidak benar itu dan kami tidak bertanggung jawab atas pemasangan spanduk oleh orang yang tidak bertanggung jawab itu yang ingin memfitnah kami,” ujar Novel",Berita Palsu
Berita Pelabuhan Mewah yang Diresmikan Jokowi Jadi Pelabuhan Hantu yang Diturunkan,"WADUH! Berita Menohok Liputan6 “Pelabuhan Mewah yang Diresmikan Jokowi Jadi Pelabuhan Hantu”, Langsung DI DELETE",Berita Palsu
: Islam  Anti Hoax,Islam  Anti Hoax,Berita Palsu
"Katanya ideologinya Pancasila, memangnya zina dan LGBT sesuai dengan Pancasila?","Ini pertanyaan serius, negeri yang mayoritas muslim, kok bisa tidak mempidanakan kumpul kebo alias zina? LGBT pun tidak melanggar hukum…
Katanya ideologinya Pancasila, memangnya zina dan LGBT sesuai dengan Pancasila? Katanya Pancasila lahir dari Islam, padahal Islam sendiri tegas dan keras mengharamkan Zina dan LGBT…
Kalau Pancasila melegalkan zina dan LGBT berarti pancasila bertentangan dong dengan Islam??
Jika kita anti Zina dan anti LGBT kita dikatain anti Pancasila anti NKRI… begitu?
Serius Nanya…
Komen yg bisa jawab….. ",Berita Palsu
Hoax Politik dan  Keteladanan Elit,Hoax Politik dan (Minimnya) Keteladanan Elit,Berita Palsu
KBR: Merebaknya Teori Konspirasi dan Disinformasi Covid,"Bersama: Septiaji Eko Nugroho (Ketua Presidium MAFINDO), Wiku Adisasmito (Jubir Pemerintah Penanganan Covid-19), Imam Prasodjo (Sosiolog).",Berita Palsu
Pemkot Depok Batalkan Acara Olahraga #DepokAman,"Semua dibatalkan karena ada memang masukan dari sekeliling kita. Walaupun kita menyatakan tidak ada penyebaran virus di Kota Depok antara Pasien satu, dua dan tiga, tapi untuk kemaslahatan bersama kita batalkan,",Berita Palsu
Benarkah Menteri Susi Sediakan 20 Bus untuk Aksi 411 atau 212?,"Tirto langsung menghubungi Susi dan bertanya benarkah ia menyewakan bus 
untuk rombongan peserta Aksi 212 atau 411 dari Ciamis atau Pangandaran. 
Jawaban Susi singkat dan jelas: “Tidak.”",Berita Palsu
Yang Berminat Menjadi Anggota PKI Silahkan Daftarkan Diri Anda,"Yang berminat menjadi anggota PKI silahkan daftarkan diri anda
 saat ini jumlah anggota PKI sudah sampai 30.000.000 anggota",Berita Palsu
Anies Baswedan: Seharusnya Penista Agama Tidak Boleh Mendapatkan Remisi,Anies Baswedan : Seharusnya Penista Agama Tidak Boleh Mendapatkan Remisi Tolong Kemenkumhan Pikirkan Baik-Baik,Berita Palsu
: Audiensi Masyrakat Anti Hoax dengan Kapolri,"Kapolri kemarin memberikan waktu bagi komunitas masyarakat anti hoax untuk beraudiensi dengan beliau. Dan kami sangat berterimakasih, karena mulai muncul jalan keluar atas kekacauan yang sekarang ini masih timbul akibat penyebaran hoax di medsos yang kadang brutal",Berita Palsu
Harga Daging Lebih Murah di Singapura Daripada DKI Jakarta,"Singapura yang tidak punya peternakan sapi, harga daging sapinya lebih murah daripada di Jakarta. Konyol enggak tuh. Memang perlu gubernur yang lebih mengerti,” kata Sandiaga di UMJ, Tangerang Selatan, Selasa.",Berita Palsu
Klarifikasi Humas Pemprov NTB Terkait Kabar Gurbenur Zulkifliemansyah yang Disebut Mengucapkan Selamat kepada Prabowo - Sandi,"Kami mengecam berita bohong atau hoaks tentang gubernur yang beredar di media sosial beberapa hari ini. Dalam berita hoaks melalui akun palsu FB Zulkieflimansyah itu, gubernur disebut memberikan ucapan selamat kepada salah satu calon presiden RI saat ini",Berita Palsu
Guru TK di Malaysia yang Terekam Aniaya Muridnya Ditangkap,Hati-Hati Kalau Memilih TK Buat Anak-Anak Kita.,Berita Palsu
Kemendagri Tidak Pernah Mengeluarkan dan Mengedarkan Surat Pembekalan CPNS Tahun 2018,"Surat itu dipastikan hoax, surat palsu.",Berita Palsu
Foto Pemandangan Kota Damaskus Suriah,Foto Pemandangan Kota Damaskus Suriah,Berita Palsu
: Polda Sulsel Sita 10 Kg Sabu Dalam Kemasan Kopi Cina,Masih belon sadar juga….bahwa penerus bangsa ini sedang diracuni dan dihancurkan oleh koloni itu ….???”,Berita Palsu
Pengelola Bus PO NPM Dipanggil Polisi,"Pengelola Bus PO NPM Angga Vircansa Chairul, dipanggil Ditreskrimum Polda Metro Jaya, sebagai Saksi dugaan makar karena menyewakan unit-unit bus nya kepada peserta aksi 212 dari Sumatera Barat.
 Ini adalah pencideraan janji Kapolri yang tidak akan menghalang-halangi pemilik PO Bus untuk menyewakan unitnya kepada kami para #Alumni212.",Berita Palsu
"Menjamurnya Polisi dan Tentara Gadungan, Ada Apa?",Penyusup atau penjajah ini ya?,Berita Palsu
Wali kota Semarang Bantah Ada Kelurahan yang Masuk Zona Merah Difteri di Daerahnya,"Tersebar kabar melalui Whatsapp dan media sosial yang mengatakan Kelurahan Genuksari, Semarang masuk zona merah difteri.",Berita Palsu
Mursal  Meninggal Terbunuh Setelah Memaparkan Limbah Minyak Goreng,"Sdr.Mursal (reporter)meninggal terbunuh setelah Memaparkan Limbah Minyak Goreng, ditubuhnya terdapat lebih dari 10 tusukan pisau, kematiannya tragis. Untuk seluruh negeri dia telah berupaya memberikan kontribusi kepada lebih dari satu miliar orang dalam upaya keamanan pangan.
 Untuk kesehatan kita, dia membayar hidupnya yang masih muda.
 Yang kita bisa lakukan untuknya adalah Forwarding, mengungkapkan rasa terima kasih.",Berita Palsu
Seseorang di India Dadanya Hancur Karena HP Samsul Mbleduk," “Surat man injured in mobile phone blast” ketika dibuka yang tampil tidak seperti yang ditampilkan di tangkapan layar tersebut, yang tampil adalah seperti di tangkapan layar ke 3: “Bhavesh Thummer suffered injuries to his chest, left eye and ear and was taken to SMIMER hospital where his condition is reported to be out of danger",Berita Palsu
THE END OF THE LEGEND Kopi Liong Bulan,"THE END OF THE LEGEND
Sebuah berita duka bagi saya dan bagi banyak orang Bogor, penggemar kopi Liong Bulan. Kopi legendaris ini tutup selamanya -tutup umur, setelah bertahan 72 tahun di kota Bogor... ",Berita Palsu
"@Metro_TV: Kembali Tenang Berdagang di Trotoar Tanah Abang, portal-islam.id: Serang Anies-Sandi Dengan Berita Hoax, Metro TV DIPERMALUKAN Haji Lulung",@Metro_TV: “Kembali Tenang Berdagang di Trotoar Tanah Abang https://goo.gl/Hsu5Pk,Berita Palsu
Jokowi: Revolusi mental akan gagal kalau agama tidak dipisahkan dari politik,Meme yang berisi foto Aidit dan Jokowi dengan narasi “AIDIT: “Revolusi mental tak akan berhasil kalau masyarakat tidak dijauhkan dengan Agama !”” dan “JOKOWI: “Revolusi mental akan gagal kalau agama tidak dipisahkan dari politik”,Berita Palsu
Alfian Tandjung Menuduh NU Kendal Rayakan HUT PKI Pada Tanggal 23 Mei 2015,Alfian Tandjung Menuduh NU Kendal Rayakan HUT PKI Pada Tanggal 23 Mei 2015,Berita Palsu
Klarifikasi #SOSDrJohnSimpsonForIndonesia,Cek tangkapan layar,Berita Palsu
Klarifikasi dari Rektor UIN Suska Riau terkait Surat Pemecatan Ustaz Abdul Somad sebagai Dosen,Ustadz Abdul Somad Dipecat Dari PNS. Luar Biasa Pemerintah Ini.. Apa Tindakan Rakyat & Umat Islam Untuk Ustadz Kami Ini.? Siap Perintah.?,Berita Palsu
Klarifikasi Polri dan KPK Terkait Kabar Kabareskrim Bongkar Rekening Gendut Ketua KPK,Itu hoax banget,Berita Palsu
Bukan Bus Calon Jamaah Haji Asal Indonesia yang Mengalami Kecelakaan dan Terbakar di Wilayah Asfan,"Untuk sopir memang WNI bernama Syafii meninggal, tapi sekali lagi seluruh penumpangnya Warga Turki, bukan WNI",Berita Palsu
Tribun News Tidak Menuliskan Densus 88 Mengamankan Barang Bukti Al Quran saat Menggeledah Rumah Driver Ojol Terduga Teroris di Medan,"Fenboi ISIS depresi berat jadinya gini Hoax disebar di WAG soal penangkapan teroris di Medan yang katanya barang buktinya Al Quran, biar pada benci polisi. Hati2 gaes, poto pertama dan kedua adalah hoax, beritanya pada foto ketiga dan ini link aslinya: http://video.tribunnews.com/…/driver-ojol-teroris-ditangkap… …",Berita Palsu
Aplikasi serupa WhatsApp yang Berpotensi Disalahgunakan dalam Penyebaran Berita Palsu dan Fitnah,Aplikasi serupa WhatsApp yang Berpotensi Disalahgunakan dalam Penyebaran Berita Palsu dan Fitnah,Berita Palsu
PIHAK KEPOLISIAN KALSEL AMANKAN PENYEBAR HOAKS PEMBUNUHAN LEVIE PRISILIA,"Wakapolda Kalsel, Brigjen Aneka Pristafuddin: “Kita amankan pemuda berinisial MR dimana yang bersangkutan kita amankan terkait dengan berita yang dibuat olehnya yang menghubungkan dua kejadian yang berbeda dan tidak ada kaitannya sama sekali,”",Berita Palsu
"Mengenal Likuifaksi, Fenomena Tanah Bergerak Gempa Palu",“Gempa di palu mengerikan.. Rumah dan pohon berpindah tempat.. Terdorong dari pondasi atau akarnya..”,Berita Palsu
Tidak Ada Pejemputan Paksa Ulama Bireuen oleh Polisi,"“Langsung kita panggil kedua belah pihak. Dengan perangkat desa, tokoh budaya, tokoh agama, alhamdulillah sudah klir. Jadi tidak ada jemput paksa,” kata Kapolsek Kota Juang, AKP Ahmad Arief Sanjaya, Selasa (3/4).",Berita Palsu
"Catet ya, biar gak tercyduk","Catet ya, biar gak tercyduk",Berita Palsu
Anggaran Renovasi Kolam DPRD DKI Jakarta Diusulkan Orang Kepercayaan Ahok dan Ketua DPRD DKI Jakarta Fraksi PDIP,"LAGI2 FITNAH AHOKERS TERBONGKAR TELAK..!
PENGUSUL ANGGARAN RENOVASI KOLAM BALAIKOTA SEBESAR 620 JUTA TERNYATA ADALAH MUHAMMAD YULIADI.
YULIADI ADALAH ORANG KEPERCAYAAN AHOK YANG DIPASANG SEBAGAI SEKRETARIS DPRD DKI",Berita Palsu
"DITUDING TAWARKAN PEKERJAAN KE PERETAS SITUS KPU, POLRI BERI BANTAHAN","Kepala Biro Penerangan Masyarakat Divisi Humas Polri, Brigadir Jenderan Dedi Prasetyo: “Ada beredar simpang siur, tapi kami sudah sampaikan itu tidak benar. Ada informasi katanya pemuda tersebut direkrut, saya sudah tanya. ‘Siap, tidak benar itu komandan,”",Berita Palsu
SMK Tidak Boleh Lagi Buka Jurusan Komputer Jaringan,Apakah ini benar,Berita Palsu
Polri Tidak Lakukan Perubahan Pelat Kendaraan Bermotor Menjadi Warna - Warni,Pelat yang warna-warni itu hoax,Berita Palsu
Kak Seto Marah Dengan Film Naura,"“Ka seto MARAH dg film Naura….
Pertanda iman melekat dlm jiwa Beliau
Yg cuex agamanya di lecehkan jangan2 hidungnya pesex..?”.",Berita Palsu
Gereja Indonesia di Bandung Mendukung Zionis Yahudi,"Gereja indonesia di bandung mendukung zionis yahudi..
Sementara nasrani di palestina dihajar oleh tentara israil yahudi dalam perayaan natal..
#MIRIS???",Berita Palsu
Bayern Munchen Buka Masjid Baru Usulan Franck Ribery di Stadion Allianz,"Klub Bundesliga, Bayern Muenchen, kabarnya telah membuka masjid baru di kompleks Stadion Allianz Arena, Munich, Jerman.",Berita Palsu
"PKI sudah dilatih pegang senjata FPI kpan,,,?","PKI sudah dilatih pegang senjata FPI kpan,,,? ayok kita bangkit, kita tunggu apa lgi, tunggu ulama di bunuh, tunggu jendral kita di masukin ke lubang buaya lgi,,,?”",Berita Palsu
Tidak Ada Organisasi Asosiasi Pengusaha Indonesia Taiwan,"Konfirmasi. ….
 Saya bagian dari APIT.
 APIT bukan dari singkatan ASOSIASI PENGUSAHA INDONESIA TAIWAN. Yang benar adalah ASOSIASI PEKERJA INDONESIA TAIWAN …..Saya bnyk d konfirmasi olh teman-teman tentang kiriman bunga ini…Helooo. …Kami APIT TIDAK PERNAH MENGIRIM BUNGA UNTUK AHOK DJAROT. …please jangan mengada-ada….",Berita Palsu
"Klarifikasi Pihak Keraton Yogyakarta Terkait Isu Pemasangan Pohon Natal di Masjid Gedhe Kauman, Yogyakarta","Salah satu fungsi online presence @kratonjogja adalah mencegah kekosongan informasi diisi oleh misinformasi, apalagi disinformasi. Itu pohon-pohon tiap tahun dibuat dalam rangka peringatan Isra’ Mi’raj yes,",Berita Palsu
: Metro TV Klarifikasi Tayangan Quick Count Unggulkan Prabowo,"Metro TV kecolongan memberikan data yang salah, hasil survei di atas dengan yang di bawah berbeda",Berita Palsu
APA SIH CITA-CITA METRO TV INI?,"APA SIH CITA-CITA METRO TV INI?
ternyata Metro TV 11-12 dg para ahokers lainnya nggak bisa move on. dari pemberitaan yg nggak mutu tentang “Bunga Anies-sandi tdk sebanyak bunga Untuk Ahok-Djarot” lalu yg tak kalah lucu adalah berita ini. metro TV bikin tulisan “AHY tidak sempat bersalaman dengan Anies-Sandi”, ternyata AHY bersalaman sekaligus ngucapin selamat kepada pasangan Anies-Sandi. untuk Foto membantah tulisan metro tv AHY tdk sempat salaman saya ambil dari FP resmi AHY berikut video membantah metro TV saya ambil dari TV ONE
NAH SEKARANG NILAI SENDIRI “PEMBERITAAN” METRO TV SEPERTI APA?",Berita Palsu
Tidak Ada Klaim dari Anies Mengenai Merancang Lapangan Banteng Dari 0,Mereka berteriak saat Gubernur DKI Jakarta Anies Baswedan menyebut kalimat “yang merancang dan menyiapkan grand design dari nol” dalam sambutannya.,Berita Palsu
Kemenristekdikti Luruskan Wacana Dosen Impor,"Bukan dosen asing, tapi profesor kelas dunia. Orang Indonesia pun bisa mengikuti program ini, asalkan dia mengajar di universitas di luar negeri dan mempunyai koneksi dengan peraih Nobel,",Berita Palsu
"Video Motor Dibakar di FB Ditulis Efek Operasi Zebra, Iwan Dibekuk","Warga Denpasar, Iwan ditangkap Tim Cyber Crime Polda Sulsel karena memelintir video kebakaran sepeda motor. Dalam akun Facebooknya, ia menulis caption ‘Akibat Operasi Zebra’, padahal kebakaran sepeda motor itu terjadi saat demonstrasi mahasiswa.",Berita Palsu
Foto Jembatan Cisomang Jalan Tol Purbaleunyi Jalan Tol Purbaleunyi Bergeser,"Dari hasil evaluasi yang dilakukan oleh PT. Jasa Marga sebagai Badan Usaha Jalan Tol (BUJT) yang dilaporkan kepada Komisi Keamanan Jembatan dan Terowongan Jalan (KKJTJ) dan Badan Pengatur Jalan Tol (BPJT) pada hari Kamis, 22 Desember 2016 diperoleh hasil bahwa telah terjadi pergeseran (deformasi) pada pilar kedua (P2) yang sudah melebihi batas izin yang disyaratkan, namun demikian vibrasi jembatan tersebut masih dalam ambang batas aman",Berita Palsu
"Kampanye Ahok di Ciganjur, Jakarta Selatan Tak Digubris","Ga ada warga yang mau dikumpulin di Jl. Kemenyan, Ciganjur, Jagakarsa, Jakarta Selatan, untuk dengerin Ahok orasi, akhirnya Ahok milih ke tempat pemancingan warga. Bahkan salah seorang abang yg sedang mancing di samping Ahok emoh. Dia lebih fokus mancing drpd dengerin Ahok berceloteh…Keciiaaann dah lo hokkk",Berita Palsu
Ketidakjujuran Presiden Jokowi Perihal Silsilah Keluarganya,"Hei, begini teman: Jika ada pemimpin yang latar belakang keluarganya tidak jelas, menjadi pro dan kontra, dan selama ini terkesan seperti ditutup-tutupi, tak pernah diklarifikasi, tidakkah Anda melihat ada sesuatu yang aneh?",Berita Palsu
Sriwijaya Air Group Bantah Setop Operasi,"Informasi setop operasi itu tidak benar. Hingga saat ini Sriwijaya Air dan NAM Air masih beroperasi melayani pelanggan dan reservasi pun masih tetap kami buka,",Berita Palsu
"Klarifikasi Pihak Kepolisian Terkait Isu Pembegalan di Pesing, Jakarta Barat","Jakarta Barat ada yang menyatakan tak aman, dengan beredarnya voice note pembegalan, di Jembatan Fly Over pesing. Itu tidak benar. Hoaks,",Berita Palsu
Pembangunan Infrastruktur yang Dibanggakan Oleh Presiden RI Joko Widodo di Papua Selama Ini Ternyata Menjadi Kedok...,"“Pembangunan infrastruktur yang dibanggakan oleh Presiden RI Joko Widodo di Papua selama ini ternyata menjadi kedok lalainya pembangunan sumber daya manusia yang ada di sana. Belakangan kedok itu pun terkuak, 63 anak suku Asmat meninggal akibat gizi buruk dan wabah campak. Kematian tersebut menjadi indikasi bahwa rakyat Papua butuh perhatian khusus terutama kebutuhan pangan bergizi serta fasilitas kesehatan yang memadai. Bukan jalan beton yang dapat menghidupi mereka, melainkan pangan bergizi dan bantuan fasilitas kesehatan yang sebenarnya mereka butuhkan.",Berita Palsu
11 Langkah Memverifikasi Sumber Berita di Internet,"Liputan6.com, Jakarta – Informasi atau konten yang dimuat di internet belum tentu benar. Namun nyatanya, sebagian di antara kita masih saja ada yang suka menyebarkan berita yang berasal dari sumber tak tepercaya, yang kebenarannya tak bisa dipertanggungjawabkan.",Berita Palsu
: Jangan Percaya Posting Palsu Provokatif di Medsos!,"“Ahok Lepas 50 Marbut Masjid di Jakarta untuk Umrah di Makkah,” diedit menjadi: “Ahok Lepas 50 Marbut Masjid di Jakarta, Bohong.",Berita Palsu
Klarifikasi Mentari International School tentang Pemberitaan Terinfeksi COVID-19,"TIDAK ADA murid maupun guru/staf sekolah Mentari yang menjadi suspek ataupun terindikasi terjangkit virus Corona.
 Sekolah-sekolah Mentari diliburkan selama 4 (empat) hari agar dapat dilakukan pembersihan dan disinfeksi secara menyeluruh, sesuai dengan standar internasional.",Berita Palsu
Ratusan Pekerja Pertamina RU II Dumai Tolak Akuisisi Pertagas,Salut buat Serikat Pekerja Pertamina yang berani menolak kebijakan Pemerintah.,Berita Palsu
Mengecek Kebenaran Klaim Yusril soal 500 Gereja yang Ditutup di London,Mengecek Kebenaran Klaim Yusril soal 500 Gereja yang Ditutup di London,Berita Palsu
Menanamkan Mental Paranoid Melalui Berita Hoax,Menanamkan Mental Paranoid Melalui Berita Hoax,Berita Palsu
Seputar Jakarta News: Alumni 212 Gelar Setahun Aksi 411 di Masjid Al Azhar,"Jakarta, Seputar Jakarta News – Presidium Alumni 212 menggelar salat Subuh berjamaah untuk memeringati setahun Aksi Bela Islam 411. Salat Subuh dipusatkan di Masjid Agung Al Azhar, Kebayoran, Jakarta Selatan, Sabtu (4/11) mulai pukul 04.30 WIB",Berita Palsu
Adakah yang Mau Nyinyirin Pendeta Poligami Ini?,“Adakah yg mau nyinyirin pendeta Poligami ini????”,Berita Palsu
PKI KETANGKEP SORE TADI...!!! MAMPUS.,"PKI KETANGKEP SORE TADI…!!! MAMPUS.
 
 Masih Bilang PKI Isu, Masih Terus Bilang Kaos Lambang PKI Trend Anak Muda..?? Ni PKI Ketangkep Di Sapuran, Wonosobo Jawa Tengah..
 
 #GANYANG_PKI_LAKNAT
 
 #HARAM_PKI_DI_NKRI”.",Berita Palsu
Cetakan Uang Baru Tidak Diakui Dunia Internasional,"DISAAT NANTI UANG KITA TIDAK BERLAKU LAGI MAKA KITA AKAN DIPAKSA MENGGUNAKAN MATA UANG YUAN DAN DOLLAR. ITU ARTINYA KITA SDH TIDAK PUNYA APA APA LAGI ALIAS BANGKRUT. WASPADAI SI SIPIT LICIK, KRN GRAND DESIGN MEREKA ADALAH MEMBUAT BANGSA INI BANGKRUT LALU TANPA PERLAWANAN MEREKA AKAN KUASAI KITA DAN BANGSA KITA INI.
 HANYA MENTAL PECUNDANG PNGHIANAT YG DIAM MELIHAT BANGSA INI DI ANIAYA KAUM SIPIT KAFIR YG LICIK, RAKUS & AMBISIUS.",Berita Palsu
: Panduan Bersosial Media Secara Sehat,"Berikut ada beberapa cara agar anda bisa menyelamatkan orang-orang yang anda kasihi. Mengajak mereka untuk sehat dalam bersosial media. Agar tidak menyebarkan berita provokatif yang belum terverifikasi kebenarannya, supaya tidak ikut menyebarkan status-status kebencian yang tidak bisa dibuktikan fakta-faktanya.",Berita Palsu
Misbakhun Bantah Fasilitasi RSCC Adakan Konferensi Pers Terkait Pemblokiran Rekening Bank Milik Ruben PS Marey,"“Undangan Peliputan yang disebarkan dengan mengatas namakan Ratna Sarumpaet Crisis Center (RSCC) di atas adalah undangan palsu dan hoaks. Sebagai anggota DPR RI, saya tidak pernah menerima pengaduan soal masalah tersebut,” ujar Anggota DPR Komisi XI Fraksi Golkar, Misbakhun, Minggu (16/9).",Berita Palsu
"Terduga Teroris IS yang Tertangkap di Sleman, Yogyakarta Bukan Pelatih Judo di UGM",Berkaitan dengan berita penangkapan terduga teroris di daerah Sleman yang dikaitkan dengan pelatih Judo UGM,Berita Palsu
Guru di Bekasi Dipecat Lewat Pesan Grup Whatsapp Gara-Gara Beda Pilihan di Pilkada Jabar,SEORANG GURU SDIT DARUL MAZA BEKASI DIBERHENTIKAN DENGAN TIDAK HORMAT HANYA LEWAT WA GROUP,Berita Palsu
Klarifikasi BPPT Terkait Isu Potensi Tsunami 57 Meter di Pandeglang,"“Datangnya bisa saja masih lama, bisa saja juga tidak terjadi. Masyarakat tidak perlu galau dengan pemberitaan yang tidak lengkap atau sensasional,” ujar Unggul.",Berita Palsu
: Warga Cina Tanam Benih Cabai Mengandung Bakteri Berbahaya di Bogor,Mengingat bibit dan tanaman itu membawa bakteri yang belum pernah ada di Indonesia dan belum bisa diberikan perlakuan apa pun terhadap tanaman yang terindikas,Berita Palsu
Media Sosial Masih Jadi Sarana Favorit Penyebaran Hoax,Media Sosial Masih Jadi Sarana Favorit Penyebaran Hoax,Berita Palsu
Video Pria Terbaring Berazan Adalah KH Hasyim Muzadi,"Keempat sumber tersebut memiliki satu narasi yang sama, yakni mengatakan kalau video tersebut adalah video Dr. KH. Hasyim Muzadi mengumandangkan azan subuh sebelum wafat.",Berita Palsu
Sylviana Menyambangi Habib Rizieq di Markas FPI,"JELAS SUDAH ….FOTO BERBICARA !!
 
 Prof. Dr. Hj. Sylviana Murni Bersama Habib Rizieq Shihab Di Markaz Syariah FPI Petamburan",Berita Palsu
Ciri-Ciri Anak Dominan Otak Kanan,"Di dalam artikel tersebut membahas mengenai tumbuh kembang anak, khususnya tumbuh kembang anak yang dominan otak kanannya. Salah satu poin yang diangkat dalam tulisan Ayah Edy itu ialah ciri-ciri anak dominan otak kanan.",Berita Palsu
WHO: Saran penyakit Coronavirus  untuk umum: membantah Mitos,"Dari bukti sejauh ini, virus COVID-19 dapat ditularkan di SEMUA AREA, termasuk daerah dengan cuaca panas dan lembab. Apa pun iklimnya, lakukan tindakan perlindungan jika Anda tinggal di, atau bepergian ke area yang melaporkan COVID-19. Cara terbaik untuk melindungi diri dari COVID-19 adalah dengan sering membersihkan tangan. Dengan melakukan ini, Anda menghilangkan virus yang mungkin ada di tangan Anda dan menghindari infeksi yang dapat terjadi saat menyentuh mata, mulut, dan hidung Anda.",Berita Palsu
Penyebutan topan dan badai di doa Maruf Amin,Harap maklum ya..,Berita Palsu
KPK Bantah Mengusulkan Pemilihan Kepala Daerah Melalui DPRD,"Kami tegaskan hal tersebut tidak benar. KPK tidak pernah menyimpulkan, apalagi mengusulkan, agar kepala daerah dipilih oleh DPRD",Berita Palsu
Klarifikasi Survei Calon Wakil Presiden Paling Disukai Masyarakat Bukan Dikeluarkan Lembaga Survei Indonesia,Klarifikasi Survei Calon Wakil Presiden Paling Disukai Masyarakat Bukan Dikeluarkan Lembaga Survei Indonesia,Berita Palsu
Registrasi Kartu SIM Card Perlukah Nama Ibu kandung ?,"Cara Registrasi Ulang Kartu Simpati, XL, Indosat, 3, Axis (Note : beserta screen shoot tata cara registrasinya yang menyertakan nama Ibu kandung pada beberapa Provider)",Berita Palsu
Waspada Bahaya Skullbreaker Challenge yang Membahayakan Nyawa,Komisi Perlindungan Anak Indonesia (KPAI) dan Polri mengimbau anak-anak dan pelajar agar tidak mengikuti skullbreaker challenge karena jelas membahayakan diri sendiri. Jika terdapat korban jiwa dalam aksi tersebut maka dapat dikenakan tindak pidana,Berita Palsu
Kepolisian Klarifikasi Terkait Biaya Tilang Baru,"Beredarnya pesan melalui aplikasi WhatsApp yang berisi biaya tilang terbaru dan instruksi Kapolri terkait penilangan di Indonesia adalah hoax atau Tidak Benar. Adapun biaya denda penilangan sudah tertera dalam UU. no 22 tahun 2009 tentang Lalu Lintas dan Angkutan Jalan,",Berita Palsu
